locker_id,zone_id,transport_cost_per_parcel,travel_minutes
L001,Z001,1.77,20
L001,Z002,2.04,25
L001,Z003,2.31,30
L001,Z004,2.58,35
L001,Z005,2.85,40
L001,Z006,1.14,45
L001,Z007,1.41,12
L001,Z008,1.68,17
L001,Z009,1.95,22
L001,Z010,2.22,27
L001,Z011,2.49,32
L001,Z012,2.76,37
L001,Z013,1.05,42
L001,Z014,1.32,9
L001,Z015,1.59,14
L001,Z016,1.86,19
L001,Z017,2.13,24
L001,Z018,2.4,29
L001,Z019,2.67,34
L001,Z020,2.94,39
L001,Z021,1.23,44
L001,Z022,1.5,11
L001,Z023,1.77,16
L001,Z024,2.04,21
L001,Z025,2.31,26
L001,Z026,2.58,31
L001,Z027,2.85,36
L001,Z028,1.14,41
L001,Z029,1.41,8
L001,Z030,1.68,13
L001,Z031,1.95,18
L001,Z032,2.22,23
L001,Z033,2.49,28
L001,Z034,2.76,33
L001,Z035,1.05,38
L001,Z036,1.32,43
L001,Z037,1.59,10
L001,Z038,1.86,15
L001,Z039,2.13,20
L001,Z040,2.4,25
L001,Z041,2.67,30
L001,Z042,2.94,35
L001,Z043,1.23,40
L001,Z044,1.5,45
L001,Z045,1.77,12
L001,Z046,2.04,17
L001,Z047,2.31,22
L001,Z048,2.58,27
L001,Z049,2.85,32
L001,Z050,1.14,37
L001,Z051,1.41,42
L001,Z052,1.68,9
L001,Z053,1.95,14
L001,Z054,2.22,19
L001,Z055,2.49,24
L001,Z056,2.76,29
L001,Z057,1.05,34
L001,Z058,1.32,39
L001,Z059,1.59,44
L001,Z060,1.86,11
L001,Z061,2.13,16
L001,Z062,2.4,21
L001,Z063,2.67,26
L001,Z064,2.94,31
L001,Z065,1.23,36
L001,Z066,1.5,41
L001,Z067,1.77,8
L001,Z068,2.04,13
L001,Z069,2.31,18
L001,Z070,2.58,23
L001,Z071,2.85,28
L001,Z072,1.14,33
L001,Z073,1.41,38
L001,Z074,1.68,43
L001,Z075,1.95,10
L001,Z076,2.22,15
L001,Z077,2.49,20
L001,Z078,2.76,25
L001,Z079,1.05,30
L001,Z080,1.32,35
L001,Z081,1.59,40
L001,Z082,1.86,45
L001,Z083,2.13,12
L001,Z084,2.4,17
L001,Z085,2.67,22
L001,Z086,2.94,27
L001,Z087,1.23,32
L001,Z088,1.5,37
L001,Z089,1.77,42
L001,Z090,2.04,9
L001,Z091,2.31,14
L001,Z092,2.58,19
L001,Z093,2.85,24
L001,Z094,1.14,29
L001,Z095,1.41,34
L001,Z096,1.68,39
L001,Z097,1.95,44
L001,Z098,2.22,11
L001,Z099,2.49,16
L001,Z100,2.76,21
L001,Z101,1.05,26
L001,Z102,1.32,31
L001,Z103,1.59,36
L001,Z104,1.86,41
L001,Z105,2.13,8
L001,Z106,2.4,13
L001,Z107,2.67,18
L001,Z108,2.94,23
L001,Z109,1.23,28
L001,Z110,1.5,33
L001,Z111,1.77,38
L001,Z112,2.04,43
L001,Z113,2.31,10
L001,Z114,2.58,15
L001,Z115,2.85,20
L001,Z116,1.14,25
L001,Z117,1.41,30
L001,Z118,1.68,35
L001,Z119,1.95,40
L001,Z120,2.22,45
L002,Z001,2.22,27
L002,Z002,2.49,32
L002,Z003,2.76,37
L002,Z004,1.05,42
L002,Z005,1.32,9
L002,Z006,1.59,14
L002,Z007,1.86,19
L002,Z008,2.13,24
L002,Z009,2.4,29
L002,Z010,2.67,34
L002,Z011,2.94,39
L002,Z012,1.23,44
L002,Z013,1.5,11
L002,Z014,1.77,16
L002,Z015,2.04,21
L002,Z016,2.31,26
L002,Z017,2.58,31
L002,Z018,2.85,36
L002,Z019,1.14,41
L002,Z020,1.41,8
L002,Z021,1.68,13
L002,Z022,1.95,18
L002,Z023,2.22,23
L002,Z024,2.49,28
L002,Z025,2.76,33
L002,Z026,1.05,38
L002,Z027,1.32,43
L002,Z028,1.59,10
L002,Z029,1.86,15
L002,Z030,2.13,20
L002,Z031,2.4,25
L002,Z032,2.67,30
L002,Z033,2.94,35
L002,Z034,1.23,40
L002,Z035,1.5,45
L002,Z036,1.77,12
L002,Z037,2.04,17
L002,Z038,2.31,22
L002,Z039,2.58,27
L002,Z040,2.85,32
L002,Z041,1.14,37
L002,Z042,1.41,42
L002,Z043,1.68,9
L002,Z044,1.95,14
L002,Z045,2.22,19
L002,Z046,2.49,24
L002,Z047,2.76,29
L002,Z048,1.05,34
L002,Z049,1.32,39
L002,Z050,1.59,44
L002,Z051,1.86,11
L002,Z052,2.13,16
L002,Z053,2.4,21
L002,Z054,2.67,26
L002,Z055,2.94,31
L002,Z056,1.23,36
L002,Z057,1.5,41
L002,Z058,1.77,8
L002,Z059,2.04,13
L002,Z060,2.31,18
L002,Z061,2.58,23
L002,Z062,2.85,28
L002,Z063,1.14,33
L002,Z064,1.41,38
L002,Z065,1.68,43
L002,Z066,1.95,10
L002,Z067,2.22,15
L002,Z068,2.49,20
L002,Z069,2.76,25
L002,Z070,1.05,30
L002,Z071,1.32,35
L002,Z072,1.59,40
L002,Z073,1.86,45
L002,Z074,2.13,12
L002,Z075,2.4,17
L002,Z076,2.67,22
L002,Z077,2.94,27
L002,Z078,1.23,32
L002,Z079,1.5,37
L002,Z080,1.77,42
L002,Z081,2.04,9
L002,Z082,2.31,14
L002,Z083,2.58,19
L002,Z084,2.85,24
L002,Z085,1.14,29
L002,Z086,1.41,34
L002,Z087,1.68,39
L002,Z088,1.95,44
L002,Z089,2.22,11
L002,Z090,2.49,16
L002,Z091,2.76,21
L002,Z092,1.05,26
L002,Z093,1.32,31
L002,Z094,1.59,36
L002,Z095,1.86,41
L002,Z096,2.13,8
L002,Z097,2.4,13
L002,Z098,2.67,18
L002,Z099,2.94,23
L002,Z100,1.23,28
L002,Z101,1.5,33
L002,Z102,1.77,38
L002,Z103,2.04,43
L002,Z104,2.31,10
L002,Z105,2.58,15
L002,Z106,2.85,20
L002,Z107,1.14,25
L002,Z108,1.41,30
L002,Z109,1.68,35
L002,Z110,1.95,40
L002,Z111,2.22,45
L002,Z112,2.49,12
L002,Z113,2.76,17
L002,Z114,1.05,22
L002,Z115,1.32,27
L002,Z116,1.59,32
L002,Z117,1.86,37
L002,Z118,2.13,42
L002,Z119,2.4,9
L002,Z120,2.67,14
L003,Z001,2.67,34
L003,Z002,2.94,39
L003,Z003,1.23,44
L003,Z004,1.5,11
L003,Z005,1.77,16
L003,Z006,2.04,21
L003,Z007,2.31,26
L003,Z008,2.58,31
L003,Z009,2.85,36
L003,Z010,1.14,41
L003,Z011,1.41,8
L003,Z012,1.68,13
L003,Z013,1.95,18
L003,Z014,2.22,23
L003,Z015,2.49,28
L003,Z016,2.76,33
L003,Z017,1.05,38
L003,Z018,1.32,43
L003,Z019,1.59,10
L003,Z020,1.86,15
L003,Z021,2.13,20
L003,Z022,2.4,25
L003,Z023,2.67,30
L003,Z024,2.94,35
L003,Z025,1.23,40
L003,Z026,1.5,45
L003,Z027,1.77,12
L003,Z028,2.04,17
L003,Z029,2.31,22
L003,Z030,2.58,27
L003,Z031,2.85,32
L003,Z032,1.14,37
L003,Z033,1.41,42
L003,Z034,1.68,9
L003,Z035,1.95,14
L003,Z036,2.22,19
L003,Z037,2.49,24
L003,Z038,2.76,29
L003,Z039,1.05,34
L003,Z040,1.32,39
L003,Z041,1.59,44
L003,Z042,1.86,11
L003,Z043,2.13,16
L003,Z044,2.4,21
L003,Z045,2.67,26
L003,Z046,2.94,31
L003,Z047,1.23,36
L003,Z048,1.5,41
L003,Z049,1.77,8
L003,Z050,2.04,13
L003,Z051,2.31,18
L003,Z052,2.58,23
L003,Z053,2.85,28
L003,Z054,1.14,33
L003,Z055,1.41,38
L003,Z056,1.68,43
L003,Z057,1.95,10
L003,Z058,2.22,15
L003,Z059,2.49,20
L003,Z060,2.76,25
L003,Z061,1.05,30
L003,Z062,1.32,35
L003,Z063,1.59,40
L003,Z064,1.86,45
L003,Z065,2.13,12
L003,Z066,2.4,17
L003,Z067,2.67,22
L003,Z068,2.94,27
L003,Z069,1.23,32
L003,Z070,1.5,37
L003,Z071,1.77,42
L003,Z072,2.04,9
L003,Z073,2.31,14
L003,Z074,2.58,19
L003,Z075,2.85,24
L003,Z076,1.14,29
L003,Z077,1.41,34
L003,Z078,1.68,39
L003,Z079,1.95,44
L003,Z080,2.22,11
L003,Z081,2.49,16
L003,Z082,2.76,21
L003,Z083,1.05,26
L003,Z084,1.32,31
L003,Z085,1.59,36
L003,Z086,1.86,41
L003,Z087,2.13,8
L003,Z088,2.4,13
L003,Z089,2.67,18
L003,Z090,2.94,23
L003,Z091,1.23,28
L003,Z092,1.5,33
L003,Z093,1.77,38
L003,Z094,2.04,43
L003,Z095,2.31,10
L003,Z096,2.58,15
L003,Z097,2.85,20
L003,Z098,1.14,25
L003,Z099,1.41,30
L003,Z100,1.68,35
L003,Z101,1.95,40
L003,Z102,2.22,45
L003,Z103,2.49,12
L003,Z104,2.76,17
L003,Z105,1.05,22
L003,Z106,1.32,27
L003,Z107,1.59,32
L003,Z108,1.86,37
L003,Z109,2.13,42
L003,Z110,2.4,9
L003,Z111,2.67,14
L003,Z112,2.94,19
L003,Z113,1.23,24
L003,Z114,1.5,29
L003,Z115,1.77,34
L003,Z116,2.04,39
L003,Z117,2.31,44
L003,Z118,2.58,11
L003,Z119,2.85,16
L003,Z120,1.14,21
L004,Z001,1.14,41
L004,Z002,1.41,8
L004,Z003,1.68,13
L004,Z004,1.95,18
L004,Z005,2.22,23
L004,Z006,2.49,28
L004,Z007,2.76,33
L004,Z008,1.05,38
L004,Z009,1.32,43
L004,Z010,1.59,10
L004,Z011,1.86,15
L004,Z012,2.13,20
L004,Z013,2.4,25
L004,Z014,2.67,30
L004,Z015,2.94,35
L004,Z016,1.23,40
L004,Z017,1.5,45
L004,Z018,1.77,12
L004,Z019,2.04,17
L004,Z020,2.31,22
L004,Z021,2.58,27
L004,Z022,2.85,32
L004,Z023,1.14,37
L004,Z024,1.41,42
L004,Z025,1.68,9
L004,Z026,1.95,14
L004,Z027,2.22,19
L004,Z028,2.49,24
L004,Z029,2.76,29
L004,Z030,1.05,34
L004,Z031,1.32,39
L004,Z032,1.59,44
L004,Z033,1.86,11
L004,Z034,2.13,16
L004,Z035,2.4,21
L004,Z036,2.67,26
L004,Z037,2.94,31
L004,Z038,1.23,36
L004,Z039,1.5,41
L004,Z040,1.77,8
L004,Z041,2.04,13
L004,Z042,2.31,18
L004,Z043,2.58,23
L004,Z044,2.85,28
L004,Z045,1.14,33
L004,Z046,1.41,38
L004,Z047,1.68,43
L004,Z048,1.95,10
L004,Z049,2.22,15
L004,Z050,2.49,20
L004,Z051,2.76,25
L004,Z052,1.05,30
L004,Z053,1.32,35
L004,Z054,1.59,40
L004,Z055,1.86,45
L004,Z056,2.13,12
L004,Z057,2.4,17
L004,Z058,2.67,22
L004,Z059,2.94,27
L004,Z060,1.23,32
L004,Z061,1.5,37
L004,Z062,1.77,42
L004,Z063,2.04,9
L004,Z064,2.31,14
L004,Z065,2.58,19
L004,Z066,2.85,24
L004,Z067,1.14,29
L004,Z068,1.41,34
L004,Z069,1.68,39
L004,Z070,1.95,44
L004,Z071,2.22,11
L004,Z072,2.49,16
L004,Z073,2.76,21
L004,Z074,1.05,26
L004,Z075,1.32,31
L004,Z076,1.59,36
L004,Z077,1.86,41
L004,Z078,2.13,8
L004,Z079,2.4,13
L004,Z080,2.67,18
L004,Z081,2.94,23
L004,Z082,1.23,28
L004,Z083,1.5,33
L004,Z084,1.77,38
L004,Z085,2.04,43
L004,Z086,2.31,10
L004,Z087,2.58,15
L004,Z088,2.85,20
L004,Z089,1.14,25
L004,Z090,1.41,30
L004,Z091,1.68,35
L004,Z092,1.95,40
L004,Z093,2.22,45
L004,Z094,2.49,12
L004,Z095,2.76,17
L004,Z096,1.05,22
L004,Z097,1.32,27
L004,Z098,1.59,32
L004,Z099,1.86,37
L004,Z100,2.13,42
L004,Z101,2.4,9
L004,Z102,2.67,14
L004,Z103,2.94,19
L004,Z104,1.23,24
L004,Z105,1.5,29
L004,Z106,1.77,34
L004,Z107,2.04,39
L004,Z108,2.31,44
L004,Z109,2.58,11
L004,Z110,2.85,16
L004,Z111,1.14,21
L004,Z112,1.41,26
L004,Z113,1.68,31
L004,Z114,1.95,36
L004,Z115,2.22,41
L004,Z116,2.49,8
L004,Z117,2.76,13
L004,Z118,1.05,18
L004,Z119,1.32,23
L004,Z120,1.59,28
L005,Z001,1.59,10
L005,Z002,1.86,15
L005,Z003,2.13,20
L005,Z004,2.4,25
L005,Z005,2.67,30
L005,Z006,2.94,35
L005,Z007,1.23,40
L005,Z008,1.5,45
L005,Z009,1.77,12
L005,Z010,2.04,17
L005,Z011,2.31,22
L005,Z012,2.58,27
L005,Z013,2.85,32
L005,Z014,1.14,37
L005,Z015,1.41,42
L005,Z016,1.68,9
L005,Z017,1.95,14
L005,Z018,2.22,19
L005,Z019,2.49,24
L005,Z020,2.76,29
L005,Z021,1.05,34
L005,Z022,1.32,39
L005,Z023,1.59,44
L005,Z024,1.86,11
L005,Z025,2.13,16
L005,Z026,2.4,21
L005,Z027,2.67,26
L005,Z028,2.94,31
L005,Z029,1.23,36
L005,Z030,1.5,41
L005,Z031,1.77,8
L005,Z032,2.04,13
L005,Z033,2.31,18
L005,Z034,2.58,23
L005,Z035,2.85,28
L005,Z036,1.14,33
L005,Z037,1.41,38
L005,Z038,1.68,43
L005,Z039,1.95,10
L005,Z040,2.22,15
L005,Z041,2.49,20
L005,Z042,2.76,25
L005,Z043,1.05,30
L005,Z044,1.32,35
L005,Z045,1.59,40
L005,Z046,1.86,45
L005,Z047,2.13,12
L005,Z048,2.4,17
L005,Z049,2.67,22
L005,Z050,2.94,27
L005,Z051,1.23,32
L005,Z052,1.5,37
L005,Z053,1.77,42
L005,Z054,2.04,9
L005,Z055,2.31,14
L005,Z056,2.58,19
L005,Z057,2.85,24
L005,Z058,1.14,29
L005,Z059,1.41,34
L005,Z060,1.68,39
L005,Z061,1.95,44
L005,Z062,2.22,11
L005,Z063,2.49,16
L005,Z064,2.76,21
L005,Z065,1.05,26
L005,Z066,1.32,31
L005,Z067,1.59,36
L005,Z068,1.86,41
L005,Z069,2.13,8
L005,Z070,2.4,13
L005,Z071,2.67,18
L005,Z072,2.94,23
L005,Z073,1.23,28
L005,Z074,1.5,33
L005,Z075,1.77,38
L005,Z076,2.04,43
L005,Z077,2.31,10
L005,Z078,2.58,15
L005,Z079,2.85,20
L005,Z080,1.14,25
L005,Z081,1.41,30
L005,Z082,1.68,35
L005,Z083,1.95,40
L005,Z084,2.22,45
L005,Z085,2.49,12
L005,Z086,2.76,17
L005,Z087,1.05,22
L005,Z088,1.32,27
L005,Z089,1.59,32
L005,Z090,1.86,37
L005,Z091,2.13,42
L005,Z092,2.4,9
L005,Z093,2.67,14
L005,Z094,2.94,19
L005,Z095,1.23,24
L005,Z096,1.5,29
L005,Z097,1.77,34
L005,Z098,2.04,39
L005,Z099,2.31,44
L005,Z100,2.58,11
L005,Z101,2.85,16
L005,Z102,1.14,21
L005,Z103,1.41,26
L005,Z104,1.68,31
L005,Z105,1.95,36
L005,Z106,2.22,41
L005,Z107,2.49,8
L005,Z108,2.76,13
L005,Z109,1.05,18
L005,Z110,1.32,23
L005,Z111,1.59,28
L005,Z112,1.86,33
L005,Z113,2.13,38
L005,Z114,2.4,43
L005,Z115,2.67,10
L005,Z116,2.94,15
L005,Z117,1.23,20
L005,Z118,1.5,25
L005,Z119,1.77,30
L005,Z120,2.04,35
L006,Z001,2.04,17
L006,Z002,2.31,22
L006,Z003,2.58,27
L006,Z004,2.85,32
L006,Z005,1.14,37
L006,Z006,1.41,42
L006,Z007,1.68,9
L006,Z008,1.95,14
L006,Z009,2.22,19
L006,Z010,2.49,24
L006,Z011,2.76,29
L006,Z012,1.05,34
L006,Z013,1.32,39
L006,Z014,1.59,44
L006,Z015,1.86,11
L006,Z016,2.13,16
L006,Z017,2.4,21
L006,Z018,2.67,26
L006,Z019,2.94,31
L006,Z020,1.23,36
L006,Z021,1.5,41
L006,Z022,1.77,8
L006,Z023,2.04,13
L006,Z024,2.31,18
L006,Z025,2.58,23
L006,Z026,2.85,28
L006,Z027,1.14,33
L006,Z028,1.41,38
L006,Z029,1.68,43
L006,Z030,1.95,10
L006,Z031,2.22,15
L006,Z032,2.49,20
L006,Z033,2.76,25
L006,Z034,1.05,30
L006,Z035,1.32,35
L006,Z036,1.59,40
L006,Z037,1.86,45
L006,Z038,2.13,12
L006,Z039,2.4,17
L006,Z040,2.67,22
L006,Z041,2.94,27
L006,Z042,1.23,32
L006,Z043,1.5,37
L006,Z044,1.77,42
L006,Z045,2.04,9
L006,Z046,2.31,14
L006,Z047,2.58,19
L006,Z048,2.85,24
L006,Z049,1.14,29
L006,Z050,1.41,34
L006,Z051,1.68,39
L006,Z052,1.95,44
L006,Z053,2.22,11
L006,Z054,2.49,16
L006,Z055,2.76,21
L006,Z056,1.05,26
L006,Z057,1.32,31
L006,Z058,1.59,36
L006,Z059,1.86,41
L006,Z060,2.13,8
L006,Z061,2.4,13
L006,Z062,2.67,18
L006,Z063,2.94,23
L006,Z064,1.23,28
L006,Z065,1.5,33
L006,Z066,1.77,38
L006,Z067,2.04,43
L006,Z068,2.31,10
L006,Z069,2.58,15
L006,Z070,2.85,20
L006,Z071,1.14,25
L006,Z072,1.41,30
L006,Z073,1.68,35
L006,Z074,1.95,40
L006,Z075,2.22,45
L006,Z076,2.49,12
L006,Z077,2.76,17
L006,Z078,1.05,22
L006,Z079,1.32,27
L006,Z080,1.59,32
L006,Z081,1.86,37
L006,Z082,2.13,42
L006,Z083,2.4,9
L006,Z084,2.67,14
L006,Z085,2.94,19
L006,Z086,1.23,24
L006,Z087,1.5,29
L006,Z088,1.77,34
L006,Z089,2.04,39
L006,Z090,2.31,44
L006,Z091,2.58,11
L006,Z092,2.85,16
L006,Z093,1.14,21
L006,Z094,1.41,26
L006,Z095,1.68,31
L006,Z096,1.95,36
L006,Z097,2.22,41
L006,Z098,2.49,8
L006,Z099,2.76,13
L006,Z100,1.05,18
L006,Z101,1.32,23
L006,Z102,1.59,28
L006,Z103,1.86,33
L006,Z104,2.13,38
L006,Z105,2.4,43
L006,Z106,2.67,10
L006,Z107,2.94,15
L006,Z108,1.23,20
L006,Z109,1.5,25
L006,Z110,1.77,30
L006,Z111,2.04,35
L006,Z112,2.31,40
L006,Z113,2.58,45
L006,Z114,2.85,12
L006,Z115,1.14,17
L006,Z116,1.41,22
L006,Z117,1.68,27
L006,Z118,1.95,32
L006,Z119,2.22,37
L006,Z120,2.49,42
L007,Z001,2.49,24
L007,Z002,2.76,29
L007,Z003,1.05,34
L007,Z004,1.32,39
L007,Z005,1.59,44
L007,Z006,1.86,11
L007,Z007,2.13,16
L007,Z008,2.4,21
L007,Z009,2.67,26
L007,Z010,2.94,31
L007,Z011,1.23,36
L007,Z012,1.5,41
L007,Z013,1.77,8
L007,Z014,2.04,13
L007,Z015,2.31,18
L007,Z016,2.58,23
L007,Z017,2.85,28
L007,Z018,1.14,33
L007,Z019,1.41,38
L007,Z020,1.68,43
L007,Z021,1.95,10
L007,Z022,2.22,15
L007,Z023,2.49,20
L007,Z024,2.76,25
L007,Z025,1.05,30
L007,Z026,1.32,35
L007,Z027,1.59,40
L007,Z028,1.86,45
L007,Z029,2.13,12
L007,Z030,2.4,17
L007,Z031,2.67,22
L007,Z032,2.94,27
L007,Z033,1.23,32
L007,Z034,1.5,37
L007,Z035,1.77,42
L007,Z036,2.04,9
L007,Z037,2.31,14
L007,Z038,2.58,19
L007,Z039,2.85,24
L007,Z040,1.14,29
L007,Z041,1.41,34
L007,Z042,1.68,39
L007,Z043,1.95,44
L007,Z044,2.22,11
L007,Z045,2.49,16
L007,Z046,2.76,21
L007,Z047,1.05,26
L007,Z048,1.32,31
L007,Z049,1.59,36
L007,Z050,1.86,41
L007,Z051,2.13,8
L007,Z052,2.4,13
L007,Z053,2.67,18
L007,Z054,2.94,23
L007,Z055,1.23,28
L007,Z056,1.5,33
L007,Z057,1.77,38
L007,Z058,2.04,43
L007,Z059,2.31,10
L007,Z060,2.58,15
L007,Z061,2.85,20
L007,Z062,1.14,25
L007,Z063,1.41,30
L007,Z064,1.68,35
L007,Z065,1.95,40
L007,Z066,2.22,45
L007,Z067,2.49,12
L007,Z068,2.76,17
L007,Z069,1.05,22
L007,Z070,1.32,27
L007,Z071,1.59,32
L007,Z072,1.86,37
L007,Z073,2.13,42
L007,Z074,2.4,9
L007,Z075,2.67,14
L007,Z076,2.94,19
L007,Z077,1.23,24
L007,Z078,1.5,29
L007,Z079,1.77,34
L007,Z080,2.04,39
L007,Z081,2.31,44
L007,Z082,2.58,11
L007,Z083,2.85,16
L007,Z084,1.14,21
L007,Z085,1.41,26
L007,Z086,1.68,31
L007,Z087,1.95,36
L007,Z088,2.22,41
L007,Z089,2.49,8
L007,Z090,2.76,13
L007,Z091,1.05,18
L007,Z092,1.32,23
L007,Z093,1.59,28
L007,Z094,1.86,33
L007,Z095,2.13,38
L007,Z096,2.4,43
L007,Z097,2.67,10
L007,Z098,2.94,15
L007,Z099,1.23,20
L007,Z100,1.5,25
L007,Z101,1.77,30
L007,Z102,2.04,35
L007,Z103,2.31,40
L007,Z104,2.58,45
L007,Z105,2.85,12
L007,Z106,1.14,17
L007,Z107,1.41,22
L007,Z108,1.68,27
L007,Z109,1.95,32
L007,Z110,2.22,37
L007,Z111,2.49,42
L007,Z112,2.76,9
L007,Z113,1.05,14
L007,Z114,1.32,19
L007,Z115,1.59,24
L007,Z116,1.86,29
L007,Z117,2.13,34
L007,Z118,2.4,39
L007,Z119,2.67,44
L007,Z120,2.94,11
L008,Z001,2.94,31
L008,Z002,1.23,36
L008,Z003,1.5,41
L008,Z004,1.77,8
L008,Z005,2.04,13
L008,Z006,2.31,18
L008,Z007,2.58,23
L008,Z008,2.85,28
L008,Z009,1.14,33
L008,Z010,1.41,38
L008,Z011,1.68,43
L008,Z012,1.95,10
L008,Z013,2.22,15
L008,Z014,2.49,20
L008,Z015,2.76,25
L008,Z016,1.05,30
L008,Z017,1.32,35
L008,Z018,1.59,40
L008,Z019,1.86,45
L008,Z020,2.13,12
L008,Z021,2.4,17
L008,Z022,2.67,22
L008,Z023,2.94,27
L008,Z024,1.23,32
L008,Z025,1.5,37
L008,Z026,1.77,42
L008,Z027,2.04,9
L008,Z028,2.31,14
L008,Z029,2.58,19
L008,Z030,2.85,24
L008,Z031,1.14,29
L008,Z032,1.41,34
L008,Z033,1.68,39
L008,Z034,1.95,44
L008,Z035,2.22,11
L008,Z036,2.49,16
L008,Z037,2.76,21
L008,Z038,1.05,26
L008,Z039,1.32,31
L008,Z040,1.59,36
L008,Z041,1.86,41
L008,Z042,2.13,8
L008,Z043,2.4,13
L008,Z044,2.67,18
L008,Z045,2.94,23
L008,Z046,1.23,28
L008,Z047,1.5,33
L008,Z048,1.77,38
L008,Z049,2.04,43
L008,Z050,2.31,10
L008,Z051,2.58,15
L008,Z052,2.85,20
L008,Z053,1.14,25
L008,Z054,1.41,30
L008,Z055,1.68,35
L008,Z056,1.95,40
L008,Z057,2.22,45
