trip_id,origin_depot,destination_depot,start_time,end_time,service_km,energy_kwh,cancel_penalty
T001,D_A,D_E,05:00,05:37,29,54,2438
T002,D_B,D_H,05:05,05:49,36,63,2592
T003,D_C,D_B,05:10,06:01,43,80,2746
T004,D_D,D_F,05:15,06:13,50,89,2900
T005,D_E,D_A,05:20,06:25,57,98,3054
T006,D_F,D_D,05:25,06:37,24,47,2328
T007,D_G,D_F,05:30,06:03,31,56,2482
T008,D_H,D_B,05:35,06:15,38,65,2636
T009,D_A,D_E,05:40,06:27,45,82,2790
T010,D_B,D_H,05:45,06:39,52,90,2944
T011,D_C,D_B,05:50,06:51,59,107,3098
T012,D_D,D_F,05:55,07:03,26,48,2372
T013,D_E,D_A,06:00,07:15,33,57,2526
T014,D_F,D_D,06:05,06:41,40,74,2680
T015,D_G,D_F,06:10,06:53,47,83,2834
T016,D_H,D_B,06:15,07:05,54,92,2988
T017,D_A,D_E,06:20,07:17,61,109,3142
T018,D_B,D_H,06:25,07:29,28,50,2416
T019,D_C,D_B,06:30,07:41,35,66,2570
T020,D_D,D_F,06:35,07:07,42,75,2724
T021,D_E,D_A,06:40,07:19,49,84,2878
T022,D_F,D_D,06:45,07:31,56,101,3032
T023,D_G,D_F,06:50,07:43,23,42,2306
T024,D_H,D_B,06:55,07:55,30,51,2460
T025,D_A,D_E,07:00,08:07,37,68,2614
T026,D_B,D_H,07:05,08:19,44,77,2768
T027,D_C,D_B,07:10,07:45,51,94,2922
T028,D_D,D_F,07:15,07:57,58,103,3076
T029,D_E,D_A,07:20,08:09,25,44,2350
T030,D_F,D_D,07:25,08:21,32,60,2504
T031,D_G,D_F,07:30,08:33,39,69,2658
T032,D_H,D_B,07:35,08:45,46,78,2812
T033,D_A,D_E,07:40,08:11,53,95,2966
T034,D_B,D_H,07:45,08:23,60,104,3120
T035,D_C,D_B,07:50,08:35,27,53,2394
T036,D_D,D_F,07:55,08:47,34,62,2548
T037,D_E,D_A,08:00,08:59,41,71,2702
T038,D_F,D_D,08:05,09:11,48,88,2856
T039,D_G,D_F,08:10,09:23,55,96,3010
T040,D_H,D_B,08:15,08:49,22,37,2284
T041,D_A,D_E,08:20,09:01,29,54,2438
T042,D_B,D_H,08:25,09:13,36,63,2592
T043,D_C,D_B,08:30,09:25,43,80,2746
T044,D_D,D_F,08:35,09:37,50,89,2900
T045,D_E,D_A,08:40,09:49,57,98,3054
T046,D_F,D_D,08:45,09:15,24,47,2328
T047,D_G,D_F,08:50,09:27,31,56,2482
T048,D_H,D_B,08:55,09:39,38,65,2636
T049,D_A,D_E,09:00,09:51,45,82,2790
T050,D_B,D_H,09:05,10:03,52,90,2944
T051,D_C,D_B,09:10,10:15,59,107,3098
T052,D_D,D_F,09:15,10:27,26,48,2372
T053,D_E,D_A,09:20,09:53,33,57,2526
T054,D_F,D_D,09:25,10:05,40,74,2680
T055,D_G,D_F,09:30,10:17,47,83,2834
T056,D_H,D_B,09:35,10:29,54,92,2988
T057,D_A,D_E,09:40,10:41,61,109,3142
T058,D_B,D_H,09:45,10:53,28,50,2416
T059,D_C,D_B,09:50,11:05,35,66,2570
T060,D_D,D_F,09:55,10:31,42,75,2724
T061,D_E,D_A,10:00,10:43,49,84,2878
T062,D_F,D_D,10:05,10:55,56,101,3032
T063,D_G,D_F,10:10,11:07,23,42,2306
T064,D_H,D_B,10:15,11:19,30,51,2460
T065,D_A,D_E,10:20,11:31,37,68,2614
T066,D_B,D_H,10:25,10:57,44,77,2768
T067,D_C,D_B,10:30,11:09,51,94,2922
T068,D_D,D_F,10:35,11:21,58,103,3076
T069,D_E,D_A,10:40,11:33,25,44,2350
T070,D_F,D_D,10:45,11:45,32,60,2504
T071,D_G,D_F,10:50,11:57,39,69,2658
T072,D_H,D_B,10:55,12:09,46,78,2812
T073,D_A,D_E,11:00,11:35,53,95,2966
T074,D_B,D_H,11:05,11:47,60,104,3120
T075,D_C,D_B,11:10,11:59,27,53,2394
T076,D_D,D_F,11:15,12:11,34,62,2548
T077,D_E,D_A,11:20,12:23,41,71,2702
T078,D_F,D_D,11:25,12:35,48,88,2856
T079,D_G,D_F,11:30,12:01,55,96,3010
T080,D_H,D_B,11:35,12:13,22,37,2284
T081,D_A,D_E,11:40,12:25,29,54,2438
T082,D_B,D_H,11:45,12:37,36,63,2592
T083,D_C,D_B,11:50,12:49,43,80,2746
T084,D_D,D_F,11:55,13:01,50,89,2900
T085,D_E,D_A,12:00,13:13,57,98,3054
T086,D_F,D_D,12:05,12:39,24,47,2328
T087,D_G,D_F,12:10,12:51,31,56,2482
T088,D_H,D_B,12:15,13:03,38,65,2636
T089,D_A,D_E,12:20,13:15,45,82,2790
T090,D_B,D_H,12:25,13:27,52,90,2944
T091,D_C,D_B,12:30,13:39,59,107,3098
T092,D_D,D_F,12:35,13:05,26,48,2372
T093,D_E,D_A,12:40,13:17,33,57,2526
T094,D_F,D_D,12:45,13:29,40,74,2680
T095,D_G,D_F,12:50,13:41,47,83,2834
T096,D_H,D_B,12:55,13:53,54,92,2988
T097,D_A,D_E,13:00,14:05,61,109,3142
T098,D_B,D_H,13:05,14:17,28,50,2416
T099,D_C,D_B,13:10,13:43,35,66,2570
T100,D_D,D_F,13:15,13:55,42,75,2724
T101,D_E,D_A,13:20,14:07,49,84,2878
T102,D_F,D_D,13:25,14:19,56,101,3032
T103,D_G,D_F,13:30,14:31,23,42,2306
T104,D_H,D_B,13:35,14:43,30,51,2460
T105,D_A,D_E,13:40,14:55,37,68,2614
T106,D_B,D_H,13:45,14:21,44,77,2768
T107,D_C,D_B,13:50,14:33,51,94,2922
T108,D_D,D_F,13:55,14:45,58,103,3076
T109,D_E,D_A,14:00,14:57,25,44,2350
T110,D_F,D_D,14:05,15:09,32,60,2504
T111,D_G,D_F,14:10,15:21,39,69,2658
T112,D_H,D_B,14:15,14:47,46,78,2812
T113,D_A,D_E,14:20,14:59,53,95,2966
T114,D_B,D_H,14:25,15:11,60,104,3120
T115,D_C,D_B,14:30,15:23,27,53,2394
T116,D_D,D_F,14:35,15:35,34,62,2548
T117,D_E,D_A,14:40,15:47,41,71,2702
T118,D_F,D_D,14:45,15:59,48,88,2856
T119,D_G,D_F,14:50,15:25,55,96,3010
T120,D_H,D_B,14:55,15:37,22,37,2284
T121,D_A,D_E,15:00,15:49,29,54,2438
T122,D_B,D_H,15:05,16:01,36,63,2592
T123,D_C,D_B,15:10,16:13,43,80,2746
T124,D_D,D_F,15:15,16:25,50,89,2900
T125,D_E,D_A,15:20,15:51,57,98,3054
T126,D_F,D_D,15:25,16:03,24,47,2328
T127,D_G,D_F,15:30,16:15,31,56,2482
T128,D_H,D_B,15:35,16:27,38,65,2636
T129,D_A,D_E,15:40,16:39,45,82,2790
T130,D_B,D_H,15:45,16:51,52,90,2944
T131,D_C,D_B,15:50,17:03,59,107,3098
T132,D_D,D_F,15:55,16:29,26,48,2372
T133,D_E,D_A,16:00,16:41,33,57,2526
T134,D_F,D_D,16:05,16:53,40,74,2680
T135,D_G,D_F,16:10,17:05,47,83,2834
T136,D_H,D_B,16:15,17:17,54,92,2988
T137,D_A,D_E,16:20,17:29,61,109,3142
T138,D_B,D_H,16:25,16:55,28,50,2416
T139,D_C,D_B,16:30,17:07,35,66,2570
T140,D_D,D_F,16:35,17:19,42,75,2724
T141,D_E,D_A,16:40,17:31,49,84,2878
T142,D_F,D_D,16:45,17:43,56,101,3032
T143,D_G,D_F,16:50,17:55,23,42,2306
T144,D_H,D_B,16:55,18:07,30,51,2460
T145,D_A,D_E,17:00,17:33,37,68,2614
T146,D_B,D_H,17:05,17:45,44,77,2768
T147,D_C,D_B,17:10,17:57,51,94,2922
T148,D_D,D_F,17:15,18:09,58,103,3076
T149,D_E,D_A,17:20,18:21,25,44,2350
T150,D_F,D_D,17:25,18:33,32,60,2504
T151,D_G,D_F,17:30,18:45,39,69,2658
T152,D_H,D_B,17:35,18:11,46,78,2812
T153,D_A,D_E,17:40,18:23,53,95,2966
T154,D_B,D_H,17:45,18:35,60,104,3120
T155,D_C,D_B,17:50,18:47,27,53,2394
T156,D_D,D_F,17:55,18:59,34,62,2548
T157,D_E,D_A,18:00,19:11,41,71,2702
T158,D_F,D_D,18:05,18:37,48,88,2856
T159,D_G,D_F,18:10,18:49,55,96,3010
T160,D_H,D_B,18:15,19:01,22,37,2284
T161,D_A,D_E,18:20,19:13,29,54,2438
T162,D_B,D_H,18:25,19:25,36,63,2592
T163,D_C,D_B,18:30,19:37,43,80,2746
T164,D_D,D_F,18:35,19:49,50,89,2900
T165,D_E,D_A,18:40,19:15,57,98,3054
T166,D_F,D_D,18:45,19:27,24,47,2328
T167,D_G,D_F,18:50,19:39,31,56,2482
T168,D_H,D_B,18:55,19:51,38,65,2636
T169,D_A,D_E,19:00,20:03,45,82,2790
T170,D_B,D_H,19:05,20:15,52,90,2944
T171,D_C,D_B,19:10,19:41,59,107,3098
T172,D_D,D_F,19:15,19:53,26,48,2372
T173,D_E,D_A,19:20,20:05,33,57,2526
T174,D_F,D_D,19:25,20:17,40,74,2680
T175,D_G,D_F,19:30,20:29,47,83,2834
T176,D_H,D_B,19:35,20:41,54,92,2988
T177,D_A,D_E,19:40,20:53,61,109,3142
T178,D_B,D_H,19:45,20:19,28,50,2416
T179,D_C,D_B,19:50,20:31,35,66,2570
T180,D_X,D_F,19:55,20:43,42,75,2724
